Positive,Negative,se,imdb,Movie_name
902,598,1.508361204,8.6,TheSpotlightMovie
568,932,0.60944206,8.2,TheMartian
705,795,0.886792453,7.9,ThePeanutsMovie
635,865,0.734104046,7.7,Carol
768,732,1.049180328,7.1,Spectre
