Country,gdp2010,gdp2011,gdp2012
Thailand,3.19E+11,3.46E+11,3.66E+11
Timor-Leste,875100000,1091000000,1292700000
Togo,3172945282,3685781120,3813834650
Tonga,368782760.4,428724301.2,471591244.3
Trinidad and Tobago,20682010082,23497648254,23985710493
Tunisia,44377742071,46434616144,45662043358
Turkey,7.31E+11,7.75E+11,7.89E+11
Turkmenistan,22583263158,28061789474,33678947368
Turks and Caicos Islands,,,
Tuvalu,31816524.87,35804372.38,36874580.69
Uganda,17197111223,16822413295,19881412441
Ukraine,1.36E+11,1.63E+11,1.76E+11
United Arab Emirates,2.98E+11,3.60E+11,
United Kingdom,2.26E+12,2.44E+12,2.44E+12
United States,1.44E+13,1.50E+13,1.57E+13
Uruguay,38846151788,46434697451,49059705190
Uzbekistan,38981605338,45324319231,51112745669
Vanuatu,700804045.2,786294694.3,785356716.5
Venezuela,3.94E+11,3.16E+11,3.82E+11
Vietnam,1.06E+11,1.24E+11,1.42E+11
"Yemen, Rep.",31883409719,31724633891,35645823132
Zambia,16190196832,19204037684,20678025802
Zimbabwe,7433314460,9656199514,10813914265
