,state,score_agg,perc_score,score_stddev
0,CA,9564.0,0.985979381443,57.4131112369
1,TX,8410.0,0.966666666667,54.4570834221
2,FL,5877.0,0.9795,58.0143853502
3,WI,3887.0,0.97175,48.4631544568
4,NC,3750.0,0.986842105263,58.86185005
5,CO,3156.0,0.98625,50.653867431
6,PA,3215.0,0.974242424242,61.4686137487
7,GA,2718.0,0.970714285714,51.2464632926
8,AZ,3400.0,0.971428571429,83.8553474636
9,IN,2453.0,0.9812,51.9393476406
