What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Rochester,Indiana,United States,17.5,5,4,3,5,5,4-6 hours,5,3,Less than 30 minutes a week,3,2,2,4
Camillus,New York,United States,45,5,5,5,5,5,7-9 hours,5,5,More than 90 minutes a week,5,5,5,2
Ruston,Louisiana,United States,15,5,5,5,5,3,4-6 hours,4,4,Less than 30 minutes a week,5,5,5,5
Austin,Texas,United States,15,3,4,3,4,5,4-6 hours,,4,30- 60 minutes a week,2,4,4,2
Rogers,Arkansas,United States,16,4,4,4,5,5,4-6 hours,4,4,30- 60 minutes a week,4,4,4,4
Rogers,Arkansas,United States,16,4,4,4,5,5,7-9 hours,3,3,Less than 30 minutes a week,3,1,3,3
Danville,Illinois,United States,17,4,3,4,4,5,4-6 hours,3,2,More than 90 minutes a week,3,3,3,4
Danville,Illinois,United States,17,4,3,4,4,5,4-6 hours,3,2,More than 90 minutes a week,3,3,3,4
Zion,Illinois,United States,15,3,4,3,5,5,1-3 hours,2,2,30- 60 minutes a week,5,3,3,5
Woodland,California,United States,17,3,3,2,5,5,4-6 hours,2,4,Less than 30 minutes a week,4,4,1,3
Austin,Texas,United States,22,5,4,5,5,5,7-9 hours,2,4,30- 60 minutes a week,3,4,4,2
Maryville,Tennessee,United States,13,4,5,5,5,5,4-6 hours,3,4,60-90 minutes a week,5,5,5,5
Maryville,Tennessee,United States,12,4,4,2,5,3,4-6 hours,5,2,More than 90 minutes a week,3,2,2,4
Davis,California,United States,17,4,5,4,5,4,4-6 hours,4,4,More than 90 minutes a week,3,4,3,2
Austin,Texas,United States,11,5,4,5,5,4,7-9 hours,4,5,More than 90 minutes a week,5,4,5,2
Gary,Indiana,United States,44,4,3,5,5,5,4-6 hours,3,4,Less than 30 minutes a week,5,5,4,2
Novato,California,United States,41,5,4,5,3,5,4-6 hours,4,4,More than 90 minutes a week,5,4,5,4
Maryville,Tennessee,United States,12,3,5,4,5,5,More than 9 hours,2,4,60-90 minutes a week,3,4,3,4
Arkadelphia,Arkansas,United States,53,4,5,5,3,2,7-9 hours,5,5,More than 90 minutes a week,5,5,5,2
Decatur,Indiana,United States,17,3,4,4,5,4,4-6 hours,5,2,More than 90 minutes a week,3,2,3,4
Davis,California,United States,18,4,4,4,5,5,4-6 hours,4,2,More than 90 minutes a week,5,2,2,4
Cleveland,Ohio,United States,14,5,3,5,4,3,7-9 hours,3,2,Less than 30 minutes a week,4,3,4,2
Cleveland,Ohio,United States,14,5,3,5,4,3,7-9 hours,3,2,Less than 30 minutes a week,4,3,4,2
American Canyon,California,United States,15,4,5,5,5,4,7-9 hours,4,4,More than 90 minutes a week,4,5,4,3
Maryville,Tennessee,United States,13,4,3,5,5,5,4-6 hours,3,2,30- 60 minutes a week,4,3,4,3
Maryville,Tennessee,United States,13,5,4,5,3,4,4-6 hours,3,2,More than 90 minutes a week,3,1,2,2
Maryville,Tennessee,United States,12,3,4,4,5,5,7-9 hours,2,3,60-90 minutes a week,5,5,4,3
Maryville,Tennessee,United States,87,5,5,4,5,5,More than 9 hours,1,5,Less than 30 minutes a week,5,5,5,3
Republic,Missouri,United States,12,3,5,5,5,5,1-3 hours,2,2,60-90 minutes a week,3,4,2,4
Maryville,Tennessee,United States,13,4,4,3,4,3,7-9 hours,2,5,60-90 minutes a week,5,3,4,2
Maryville,Tennessee,United States,13,5,5,5,5,5,7-9 hours,5,5,More than 90 minutes a week,5,5,5,3
Maryville,Tennessee,United States,13,2,1,3,3,2,4-6 hours,1,3,Less than 30 minutes a week,2,2,2,5
Maryville,Tennessee,United States,13,5,5,4,4,3,7-9 hours,3,3,More than 90 minutes a week,4,4,3,3
Republic,Missouri,United States,11,4,3,5,5,5,7-9 hours,3,4,30- 60 minutes a week,5,4,4,3
Republic,Missouri,United States,11,3,3,5,4,4,7-9 hours,3,4,60-90 minutes a week,3,5,5,3
Republic,Missouri,United States,11,3,3,4,5,5,7-9 hours,3,2,30- 60 minutes a week,2,4,3,3
Republic,Missouri,United States,12,4,5,4,5,4,7-9 hours,4,4,More than 90 minutes a week,5,4,5,2
Republic,Missouri,United States,11,4,5,5,3,4,4-6 hours,2,3,30- 60 minutes a week,4,5,4,1
Billings,Missouri,United States,11,4,5,5,4,3,4-6 hours,5,4,30- 60 minutes a week,5,5,4,4
Maryville,Tennessee,United States,13,5,3,5,5,2,More than 9 hours,3,3,30- 60 minutes a week,5,5,4,1
Republic,Missouri,United States,11,5,5,5,5,4,More than 9 hours,4,5,60-90 minutes a week,4,5,4,2
Republic,Missouri,United States,11,5,5,5,5,5,7-9 hours,3,5,30- 60 minutes a week,3,5,4,4
Republic,Missouri,United States,11,4,4,4,4,4,7-9 hours,4,5,More than 90 minutes a week,4,3,5,3
Maryville,Tennessee,United States,32,3,3,4,5,3,4-6 hours,2,3,More than 90 minutes a week,4,4,3,3
Republic,Missouri,United States,12,5,3,4,5,5,More than 9 hours,,3,30- 60 minutes a week,5,4,4,3
Republic,Missouri,United States,11,4,5,4,2,5,7-9 hours,3,4,Less than 30 minutes a week,4,5,4,4
Republic,Missouri,United States,12,3,3,5,4,5,4-6 hours,2,3,30- 60 minutes a week,3,5,4,3
Republic,Missouri,United States,12,3,4,5,5,3,7-9 hours,4,3,More than 90 minutes a week,4,4,3,2
Republic,Missouri,United States,12,5,3,5,5,4,7-9 hours,5,3,30- 60 minutes a week,4,4,3,2
Republic,Missouri,United States,12,5,4,4,5,4,7-9 hours,4,4,More than 90 minutes a week,4,5,5,2
Republic,Missouri,United States,11,5,5,4,5,4,More than 9 hours,4,5,More than 90 minutes a week,5,5,5,4
Republic,Missouri,United States,12,5,4,4,5,5,4-6 hours,4,4,More than 90 minutes a week,4,4,4,4
Springfield,Missouri,United States,12,5,4,5,4,4,7-9 hours,,3,30- 60 minutes a week,4,4,4,3
Republic,Missouri,United States,12,5,4,5,4,5,7-9 hours,5,4,60-90 minutes a week,4,5,4,5
Lowell,Indiana,United States,12,4,4,5,3,3,7-9 hours,3,3,More than 90 minutes a week,5,5,4,3
Republic,Missouri,United States,12,5,5,5,3,5,7-9 hours,4,5,30- 60 minutes a week,5,5,4,2
Republic,Missouri,United States,11,5,3,4,5,4,7-9 hours,4,2,More than 90 minutes a week,3,5,3,3
Republic,Missouri,United States,11,5,5,5,3,5,7-9 hours,5,4,Less than 30 minutes a week,5,5,4,3
Rogers,Arkansas,United States,16,4,2,3,5,5,4-6 hours,2,2,Less than 30 minutes a week,3,1,2,4
Ruston,Louisiana,United States,14,4,3,4,4,4,7-9 hours,2,4,30- 60 minutes a week,4,5,3,4
Davis,California,United States,15,4,4,5,5,4,7-9 hours,4,4,Less than 30 minutes a week,5,5,4,1
South Bend,Indiana,United States,16,4,4,5,4,3,4-6 hours,4,4,More than 90 minutes a week,5,4,4,2
Maryville,Tennessee,United States,11,5,5,5,4,4,More than 9 hours,3,4,30- 60 minutes a week,4,5,4,4
Shelby,Ohio,United States,15,4,4,4,5,4,7-9 hours,2,3,30- 60 minutes a week,3,3,2,3
Maryville,Tennessee,United States,11,4,4,5,5,5,7-9 hours,3,4,More than 90 minutes a week,5,5,4,2
Columbus,Indiana,United States,13,3,2,2,5,5,7-9 hours,3,1,60-90 minutes a week,5,3,3,5
Maryville,Tennessee,United States,11,4,4,5,5,5,4-6 hours,2,2,Less than 30 minutes a week,5,3,4,5
Maryville,Tennessee,United States,11,5,4,5,4,4,7-9 hours,4,5,More than 90 minutes a week,5,5,4,1
Maryville,Tennessee,United States,12,4,3,5,4,4,7-9 hours,3,3,60-90 minutes a week,5,4,4,2
Maryville,Tennessee,United States,11,3,3,4,5,5,7-9 hours,2,3,60-90 minutes a week,4,4,3,4
Maryville,Tennessee,United States,11,4,3,5,5,5,7-9 hours,3,3,60-90 minutes a week,4,3,3,3
Maryville,Tennessee,United States,11,4,5,5,5,5,More than 9 hours,4,5,More than 90 minutes a week,5,5,5,3
Maryville,Tennessee,United States,12,5,5,5,5,4,More than 9 hours,3,5,More than 90 minutes a week,4,5,4,2
Maryville,Tennessee,United States,12,4,5,5,5,3,7-9 hours,4,5,More than 90 minutes a week,4,5,5,1
Maryville,Tennessee,United States,12,4,3,5,5,2,7-9 hours,4,3,30- 60 minutes a week,2,5,4,2
Maryville,Tennessee,United States,11,4,5,5,5,4,7-9 hours,3,3,More than 90 minutes a week,4,4,4,2
Maryville,Tennessee,United States,13,4,5,5,5,5,More than 9 hours,4,4,30- 60 minutes a week,2,5,4,4
Maryville,Tennessee,United States,12,5,5,5,5,4,7-9 hours,3,5,More than 90 minutes a week,5,5,5,2
American Canyon,California,United States,12,4,4,4,4,4,Less than an hour,4,4,30- 60 minutes a week,4,3,2,4
Maryville,Tennessee,United States,12,3,3,5,3,5,4-6 hours,2,3,30- 60 minutes a week,4,5,3,2
Napa,California,United States,16,5,4,5,5,5,7-9 hours,3,3,60-90 minutes a week,4,2,4,2
South Bend,Indiana,United States,16,5,3,3,5,3,1-3 hours,4,2,30- 60 minutes a week,5,1,1,4
LaGrange,Indiana,United States,17,4,4,5,5,4,4-6 hours,4,3,Less than 30 minutes a week,4,5,4,4
Columbus,Indiana,United States,26,5,4,5,3,5,4-6 hours,2,4,30- 60 minutes a week,5,4,4,2
San Jose,California,United States,12,5,5,5,5,5,7-9 hours,3,5,60-90 minutes a week,5,5,5,1
Republic,Missouri,United States,11,4,5,4,5,4,7-9 hours,3,4,Less than 30 minutes a week,3,4,5,4
Republic,Missouri,United States,12,4,4,5,5,4,More than 9 hours,4,5,30- 60 minutes a week,5,5,4,3
Republic,Missouri,United States,12,3,4,5,4,5,More than 9 hours,3,3,Less than 30 minutes a week,4,4,4,5
Republic,Missouri,United States,11,4,3,5,4,4,7-9 hours,3,3,More than 90 minutes a week,4,4,4,4
Republic,Missouri,United States,12,4,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,5,4,5
Republic,Missouri,United States,12,5,5,5,4,2,7-9 hours,5,4,More than 90 minutes a week,5,5,5,1
Republic,Missouri,United States,11,5,5,5,5,5,7-9 hours,5,4,More than 90 minutes a week,3,4,5,2
Republic,Missouri,United States,12,4,4,5,5,3,1-3 hours,5,4,More than 90 minutes a week,5,5,4,3
Republic,Missouri,United States,12,3,4,3,3,5,7-9 hours,4,4,More than 90 minutes a week,2,2,3,5
Republic,Missouri,United States,12,4,5,5,3,3,More than 9 hours,4,5,More than 90 minutes a week,3,4,4,4
Republic,Missouri,United States,12,3,4,4,5,5,4-6 hours,4,5,More than 90 minutes a week,5,5,4,5
Republic,Missouri,United States,12,5,5,5,5,3,7-9 hours,4,3,More than 90 minutes a week,5,4,5,5
Republic,Missouri,United States,12,5,5,5,4,4,7-9 hours,3,5,30- 60 minutes a week,5,5,4,1
Republic,Missouri,United States,11,5,4,5,3,5,More than 9 hours,5,5,More than 90 minutes a week,5,5,5,4
Republic,Missouri,United States,11,5,5,5,3,4,7-9 hours,4,5,60-90 minutes a week,5,5,5,1
Republic,Missouri,United States,11,3,4,4,4,5,7-9 hours,5,4,More than 90 minutes a week,3,5,4,2
Republic,Missouri,United States,12,4,4,5,3,4,7-9 hours,4,4,More than 90 minutes a week,4,5,5,3
Republic,Missouri,United States,12,5,4,5,5,3,Less than an hour,4,3,More than 90 minutes a week,5,4,3,5
Corunna,Indiana,United States,16,4,5,5,5,5,7-9 hours,4,4,30- 60 minutes a week,4,4,4,3
Auburn,Indiana,United States,15,4,5,4,5,5,4-6 hours,4,4,More than 90 minutes a week,4,4,5,2
Plymouth,Indiana,United States,13,5,3,5,2,5,7-9 hours,2,1,Less than 30 minutes a week,5,5,5,2
Cleveland,Ohio,United States,15,5,3,5,4,5,More than 9 hours,4,2,Less than 30 minutes a week,5,5,4,5
Rochester,Indiana,United States,14,4,5,5,5,5,7-9 hours,5,4,More than 90 minutes a week,5,5,4,3
Ashley,Indiana,United States,14,4,4,3,5,4,7-9 hours,4,3,30- 60 minutes a week,5,4,3,4
San Anselmo,California,United States,14,3,3,3,5,3,4-6 hours,4,3,More than 90 minutes a week,2,3,2,4
Republic,Missouri,United States,12,4,4,5,3,5,4-6 hours,3,4,More than 90 minutes a week,4,5,4,4
Republic,Missouri,United States,12,4,4,5,5,3,1-3 hours,5,4,More than 90 minutes a week,5,5,4,3
Republic,Missouri,United States,12,5,4,5,4,5,7-9 hours,5,4,60-90 minutes a week,4,5,4,5
Republic,Missouri,United States,11,4,5,5,3,4,4-6 hours,2,3,30- 60 minutes a week,4,5,4,1
Republic,Missouri,United States,11,3,4,4,4,5,7-9 hours,5,4,More than 90 minutes a week,3,5,4,2
Republic,Missouri,United States,11,3,4,4,4,5,7-9 hours,5,4,More than 90 minutes a week,3,5,4,2
Springfield,Missouri,United States,11,4,4,5,4,4,4-6 hours,4,4,60-90 minutes a week,4,5,4,2
Republic,Missouri,United States,12,3,4,5,4,5,More than 9 hours,3,3,Less than 30 minutes a week,4,4,4,5
Republic,Missouri,United States,12,3,4,5,4,5,More than 9 hours,3,3,Less than 30 minutes a week,4,4,4,5
Republic,Missouri,United States,12,5,5,5,4,2,7-9 hours,5,4,More than 90 minutes a week,5,5,5,1
Republic,Missouri,United States,11,4,4,4,5,5,4-6 hours,3,4,30- 60 minutes a week,5,3,4,2
Queens,New York,United States,15,5,4,4,5,5,4-6 hours,5,3,More than 90 minutes a week,5,3,3,5
South Bend,Indiana,United States,15,2,2,5,4,2,4-6 hours,3,4,More than 90 minutes a week,3,4,2,2
Ashley,Indiana,United States,14,4,4,5,4,2,4-6 hours,4,4,30- 60 minutes a week,5,4,4,2
Rochester,Indiana,United States,17,4,4,4,4,5,4-6 hours,2,4,60-90 minutes a week,4,4,3,2
Dumas,Arkansas,United States,15,5,4,5,5,5,7-9 hours,3,3,More than 90 minutes a week,5,4,4,2
Republic,Missouri,United States,11,4,4,5,4,3,More than 9 hours,5,4,More than 90 minutes a week,5,5,4,4
Republic,Missouri,United States,11,4,4,5,4,3,More than 9 hours,5,4,More than 90 minutes a week,5,5,4,4
Republic,Missouri,United States,12,5,5,5,4,4,7-9 hours,4,4,More than 90 minutes a week,4,5,4,3
Belton,Texas,United States,15,5,3,5,5,5,4-6 hours,3,2,30- 60 minutes a week,5,3,4,3
Republic,Missouri,United States,11,5,4,5,5,5,More than 9 hours,5,5,More than 90 minutes a week,5,5,5,1
Republic,Missouri,United States,12,5,3,4,5,3,7-9 hours,4,4,Less than 30 minutes a week,5,5,3,3
Republic,Missouri,United States,12,4,3,5,5,4,7-9 hours,,5,30- 60 minutes a week,5,5,4,5
Battlefield,Missouri,United States,12,4,4,5,5,3,4-6 hours,5,4,30- 60 minutes a week,2,5,4,3
Republic,Missouri,United States,12,4,3,5,4,3,4-6 hours,4,5,More than 90 minutes a week,4,5,4,2
Republic,Missouri,United States,12,5,5,5,4,4,More than 9 hours,5,5,More than 90 minutes a week,4,5,5,1
Republic,Missouri,United States,11,5,5,5,5,4,4-6 hours,4,3,30- 60 minutes a week,5,3,5,3
Republic,Missouri,United States,12,3,3,5,5,5,More than 9 hours,5,3,More than 90 minutes a week,5,5,3,4
Republic,Missouri,United States,12,3,4,5,1,3,7-9 hours,3,4,30- 60 minutes a week,4,5,4,2
Republic,Missouri,United States,12,5,5,5,4,3,More than 9 hours,5,4,More than 90 minutes a week,5,5,4,4
Palatka,Florida,United States,15,3,4,4,4,4,4-6 hours,3,4,30- 60 minutes a week,3,4,4,3
Battlefield,Missouri,United States,12,4,4,5,4,4,4-6 hours,2,3,More than 90 minutes a week,5,4,4,2
Republic,Missouri,United States,12,5,3,5,5,3,7-9 hours,4,3,30- 60 minutes a week,5,5,3,5
Republic,Missouri,United States,11,5,4,5,5,5,4-6 hours,3,4,30- 60 minutes a week,5,5,4,3
Republic,Missouri,United States,12,4,4,4,5,4,4-6 hours,5,2,30- 60 minutes a week,4,4,5,2
Republic,Missouri,United States,12,3,2,2,5,4,7-9 hours,4,3,30- 60 minutes a week,4,3,4,4
Republic,Missouri,United States,12,4,4,5,3,5,7-9 hours,2,4,More than 90 minutes a week,2,5,2,4
Republic,Missouri,United States,12,4,3,5,4,3,7-9 hours,4,4,More than 90 minutes a week,4,5,3,4
Republic,Missouri,United States,12,5,5,4,5,4,More than 9 hours,4,4,More than 90 minutes a week,4,5,4,4
Republic,Missouri,United States,12,4,4,5,4,2,4-6 hours,5,4,60-90 minutes a week,4,3,4,2
El Dorado,Arkansas,United States,15,4,3,3,5,4,4-6 hours,4,3,More than 90 minutes a week,1,2,2,4
Auburn,Indiana,United States,14,4,4,4,4,4,7-9 hours,3,2,More than 90 minutes a week,4,3,4,3
Davis,California,United States,17,3,4,4,5,5,4-6 hours,3,4,More than 90 minutes a week,2,3,3,3
Republic,Missouri,United States,12,5,5,5,4,4,More than 9 hours,5,5,More than 90 minutes a week,4,5,5,1
Republic,Missouri,United States,12,4,3,5,5,4,7-9 hours,,5,30- 60 minutes a week,5,5,4,5
Bloomington,Indiana,United States,18,5,5,5,5,5,4-6 hours,2,5,30- 60 minutes a week,5,5,5,3
Davis,California,United States,18,3,2,2,4,5,4-6 hours,2,1,More than 90 minutes a week,2,1,3,5
Columbus,Indiana,United States,16,4,4,4,4,4,7-9 hours,3,4,60-90 minutes a week,4,2,3,4
Belton,Texas,United States,14,5,3,3,4,4,Less than an hour,3,2,30- 60 minutes a week,2,1,3,5
Fairfax,California,United States,15,4,5,4,5,3,4-6 hours,4,4,More than 90 minutes a week,4,4,4,2
Seattle,Washington,United States,16,5,3,4,3,4,7-9 hours,3,4,30- 60 minutes a week,1,4,3,2
Idaho Falls,Idaho,United States,15,4,5,5,5,5,7-9 hours,1,4,30- 60 minutes a week,3,4,4,2
Rogers,Arkansas,United States,12,4,4,5,5,5,7-9 hours,3,3,Less than 30 minutes a week,4,2,3,2
Republic,Missouri,United States,12,4,1,4,5,3,More than 9 hours,5,3,More than 90 minutes a week,4,3,4,4
Republic,Missouri,United States,12,4,4,5,3,5,7-9 hours,4,4,60-90 minutes a week,3,5,5,3
Republic,Missouri,United States,12,3,2,5,3,5,7-9 hours,3,5,More than 90 minutes a week,5,5,4,5
Republic,Missouri,United States,11,3,5,5,4,3,7-9 hours,4,5,30- 60 minutes a week,3,5,5,2
Willow Springs,Missouri,United States,38,4,5,5,4,4,4-6 hours,3,4,Less than 30 minutes a week,4,2,2,4
Republic,Missouri,United States,34,5,5,5,3,4,7-9 hours,3,5,30- 60 minutes a week,4,5,5,2
Republic,Missouri,United States,12,3,4,2,3,3,More than 9 hours,3,2,60-90 minutes a week,4,4,3,2
Republic,Missouri,United States,12,5,5,5,5,5,7-9 hours,4,3,Less than 30 minutes a week,5,5,2,5
Battle Field,Missouri,United States,11,5,5,5,4,5,7-9 hours,5,5,More than 90 minutes a week,4,5,5,5
Republic,Missouri,United States,12,2,4,5,2,5,4-6 hours,1,3,Less than 30 minutes a week,2,4,1,2
Republic,Missouri,United States,12,5,4,5,3,3,7-9 hours,4,4,More than 90 minutes a week,5,5,5,2
Battlefield,Missouri,United States,45,4,5,4,4,4,4-6 hours,3,4,More than 90 minutes a week,4,4,4,3
Republic,Missouri,United States,12,3,5,5,5,4,7-9 hours,2,4,More than 90 minutes a week,3,5,4,3
Republic,Missouri,United States,12,3,4,5,1,5,7-9 hours,2,3,60-90 minutes a week,3,5,5,2
Republic,Missouri,United States,11,4,4,5,5,5,7-9 hours,4,5,30- 60 minutes a week,5,5,4,4
Republic,Missouri,United States,11,4,4,5,5,5,7-9 hours,4,5,30- 60 minutes a week,5,5,4,4
Battle Field,Missouri,United States,11,4,4,4,3,5,1-3 hours,2,4,More than 90 minutes a week,4,5,4,2
Republic,Missouri,United States,11,3,5,5,4,4,7-9 hours,4,4,More than 90 minutes a week,3,5,4,3
Springfield,Missouri,United States,33,4,5,5,5,4,7-9 hours,3,4,30- 60 minutes a week,5,4,4,3
Republic,Missouri,United States,11,3,5,5,4,4,7-9 hours,4,4,More than 90 minutes a week,3,5,4,3
Republic,Missouri,United States,12,2,4,4,5,4,4-6 hours,4,5,30- 60 minutes a week,4,4,4,4
Republic,Missouri,United States,11,5,5,5,5,5,4-6 hours,4,5,30- 60 minutes a week,4,5,5,4
Republic,Missouri,United States,11,3,3,5,3,3,7-9 hours,4,4,60-90 minutes a week,3,5,3,3
Springfield,Missouri,United States,12,3,5,5,4,5,4-6 hours,2,4,30- 60 minutes a week,4,4,4,3
Republic,Missouri,United States,48,3,5,4,4,3,4-6 hours,2,2,60-90 minutes a week,3,3,3,4
Auburn,Indiana,United States,15,3,5,5,5,5,7-9 hours,2,4,60-90 minutes a week,4,4,4,4
American Canyon,California,United States,12,4,5,5,4,3,Less than an hour,4,3,More than 90 minutes a week,4,4,4,2
American Canyon,California,United States,12,3,4,5,5,4,7-9 hours,3,3,60-90 minutes a week,4,4,3,2
American Canyon,California,United States,12,4,4,5,5,5,More than 9 hours,3,4,30- 60 minutes a week,5,4,3,3
Springfield,Missouri,United States,19,4,4,5,5,4,7-9 hours,3,4,30- 60 minutes a week,4,4,4,3
Sioux Falls,South Dakota,United States,16,5,4,5,5,4,1-3 hours,2,1,Less than 30 minutes a week,2,2,3,4
Dallas,Texas,United States,15,5,4,5,5,5,Less than an hour,4,5,More than 90 minutes a week,5,5,4,5
Davis,California,United States,18,4,5,4,5,5,7-9 hours,3,3,30- 60 minutes a week,2,2,2,1
Springfield,Missouri,United States,49,4,4,5,3,4,4-6 hours,4,4,Less than 30 minutes a week,4,4,3,1
American Canyon,California,United States,13,4,3,4,5,4,7-9 hours,4,3,More than 90 minutes a week,4,3,3,4
American Canyon,California,United States,12,3,5,4,4,4,4-6 hours,4,4,More than 90 minutes a week,3,4,4,4
American Canyon,California,United States,12,4,4,5,5,4,7-9 hours,3,4,60-90 minutes a week,4,3,4,4
American Canyon,California,United States,12,5,5,5,5,5,More than 9 hours,5,5,More than 90 minutes a week,5,5,5,5
American Canyon,California,United States,12,4,4,5,4,3,7-9 hours,,4,More than 90 minutes a week,4,4,5,3
Republic,Missouri,United States,43,4,5,5,5,5,4-6 hours,3,4,30- 60 minutes a week,5,5,4,4
American Canyon,California,United States,12,3,3,4,2,5,7-9 hours,4,4,More than 90 minutes a week,5,4,5,2
Republic,Missouri,United States,41,5,4,5,5,5,4-6 hours,3,5,60-90 minutes a week,5,4,4,2
Republic,Missouri,United States,46,4,5,5,4,2,4-6 hours,3,3,More than 90 minutes a week,5,4,3,2
American Canyon,California,United States,12,3,3,5,5,4,7-9 hours,4,3,60-90 minutes a week,4,5,4,2
Fair Grove,Missouri,United States,25,4,4,5,5,5,7-9 hours,4,5,More than 90 minutes a week,5,4,4,2
American Canyon,California,United States,12,3,3,5,5,4,7-9 hours,4,3,60-90 minutes a week,4,5,4,2
Springfield,Missouri,United States,24,5,5,5,5,5,4-6 hours,5,4,30- 60 minutes a week,5,5,4,4
Republic,Missouri,United States,38,5,4,5,5,4,7-9 hours,3,4,Less than 30 minutes a week,4,4,4,2
Springfield,Missouri,United States,38,4,5,5,4,4,1-3 hours,3,4,More than 90 minutes a week,4,4,4,2
Nixa,Missouri,United States,27,3,5,5,5,3,7-9 hours,2,3,More than 90 minutes a week,3,4,4,2
Marionville,Missouri,United States,45,3,4,5,4,2,7-9 hours,3,3,More than 90 minutes a week,4,3,4,3
American Canyon,California,United States,12,5,4,5,5,5,7-9 hours,4,3,60-90 minutes a week,4,4,4,2
Bolivar,Missouri,United States,27,3,4,4,5,5,4-6 hours,3,3,Less than 30 minutes a week,5,4,2,4
Willard,Missouri,United States,42,5,5,5,2,3,4-6 hours,3,4,Less than 30 minutes a week,4,5,5,2
Ozark,Missouri,United States,56,5,5,5,5,4,7-9 hours,2,3,Less than 30 minutes a week,5,5,5,3
Jonesboro,Arkansas,United States,41,5,5,4,4,4,7-9 hours,3,4,More than 90 minutes a week,4,5,2,2
Dallas,Texas,United States,15,4,3,4,5,5,7-9 hours,3,3,60-90 minutes a week,4,3,4,4
Carrollton,Texas,United States,17,4,4,3,5,5,4-6 hours,4,3,More than 90 minutes a week,4,2,3,3
Republic,Missouri,United States,29,5,4,5,4,3,4-6 hours,2,4,More than 90 minutes a week,4,4,3,2
Republic,Missouri,United States,38,4,5,4,4,4,4-6 hours,3,3,More than 90 minutes a week,3,3,3,3
Springfield,Missouri,United States,61,4,5,5,4,4,7-9 hours,3,4,60-90 minutes a week,4,3,3,2
Steelville,Missouri,United States,50,4,4,5,5,4,4-6 hours,3,3,Less than 30 minutes a week,3,2,4,2
Republic,Missouri,United States,48,4,5,5,5,3,Less than an hour,5,4,30- 60 minutes a week,5,5,4,4
Springfield,Missouri,United States,43,5,5,5,3,5,4-6 hours,3,4,Less than 30 minutes a week,5,4,4,2
Republic,Missouri,United States,41,5,4,4,4,4,7-9 hours,4,4,30- 60 minutes a week,5,5,5,4
Republic,Missouri,United States,29,3,5,5,5,3,7-9 hours,5,4,More than 90 minutes a week,3,4,5,2
Springfield,Missouri,United States,33,4,4,4,3,4,4-6 hours,2,3,Less than 30 minutes a week,3,3,3,3
Republic,Missouri,United States,12,5,5,5,5,5,7-9 hours,5,5,More than 90 minutes a week,5,5,5,1
Dallas,Texas,United States,16,5,3,4,5,5,4-6 hours,3,4,30- 60 minutes a week,4,5,4,2
Montebello,California,United States,15,5,4,5,4,5,7-9 hours,3,3,60-90 minutes a week,5,4,3,4
Springfield,Missouri,United States,40,4,4,4,4,3,4-6 hours,4,4,60-90 minutes a week,4,4,4,3
Republic,Missouri,United States,39,4,4,4,3,3,7-9 hours,4,3,30- 60 minutes a week,4,4,4,4
Belton,Texas,United States,15,5,4,4,5,4,4-6 hours,2,3,Less than 30 minutes a week,3,3,2,1
Marionville,Missouri,United States,39,4,4,5,3,4,1-3 hours,3,4,Less than 30 minutes a week,4,4,4,3
Republic,Missouri,United States,39,4,4,4,4,3,7-9 hours,3,4,30- 60 minutes a week,4,4,3,3
Republic,Missouri,United States,43,4,5,5,4,5,7-9 hours,4,4,30- 60 minutes a week,5,4,4,1
Napa,California,United States,18,5,4,5,5,4,7-9 hours,3,4,More than 90 minutes a week,4,3,2,1
Billings,Missouri,United States,40,4,5,5,5,5,4-6 hours,3,4,30- 60 minutes a week,5,4,5,2
Republic,Missouri,United States,43,4,5,5,3,4,4-6 hours,3,5,60-90 minutes a week,4,5,5,2
Republic,Missouri,United States,54,4,5,4,2,4,7-9 hours,4,4,30- 60 minutes a week,4,3,4,2
Republic,Missouri,United States,45,5,5,5,5,5,4-6 hours,5,4,More than 90 minutes a week,3,3,4,5
Republic,Missouri,United States,52,4,5,5,4,4,7-9 hours,4,5,30- 60 minutes a week,4,4,4,1
Republic,Missouri,United States,26,5,5,5,4,5,7-9 hours,4,5,60-90 minutes a week,5,5,5,2
Springfield,Missouri,United States,52,4,5,5,3,2,7-9 hours,4,3,More than 90 minutes a week,3,4,5,3
Caddo  Valley,Arkansas,United States,14,4,4,5,4,5,4-6 hours,3,4,More than 90 minutes a week,5,5,4,2
Plymouth,Indiana,United States,11,3,5,5,5,4,7-9 hours,4,5,60-90 minutes a week,4,5,5,2
Springfield,Missouri,United States,46,4,5,2,2,3,4-6 hours,5,4,30- 60 minutes a week,4,4,4,2
Oakland,California,United States,34,4,5,5,4,4,7-9 hours,4,4,More than 90 minutes a week,3,3,4,2
Republic,Missouri,United States,39,5,5,5,4,5,7-9 hours,3,4,Less than 30 minutes a week,5,4,4,2
