What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Camillus,New York,United States,54,4,4,5,4,3,4-6 hours,3,4,30- 60 minutes a week,3,4,4,1
Brighton,Michigan,United States,37,4,4,5,4,4,7-9 hours,3,5,Less than 30 minutes a week,4,4,4,2
Syracuse,New York,United States,32,5,5,5,5,2,4-6 hours,2,3,Less than 30 minutes a week,4,4,2,2
Syracuse,New York,United States,50,5,5,4,3,3,1-3 hours,3,4,Less than 30 minutes a week,3,3,4,1
Liverpool,New York,United States,48,3,5,4,5,3,7-9 hours,3,3,More than 90 minutes a week,3,4,4,2
Syracuse,New York,United States,29,5,4,4,5,3,4-6 hours,4,4,60-90 minutes a week,4,4,3,2
Syracuse,New York,United States,27,5,5,5,4,4,1-3 hours,3,4,60-90 minutes a week,5,4,4,2
Syracuse,New York,United States,60,5,4,5,2,4,4-6 hours,3,4,60-90 minutes a week,4,4,4,2
Syracuse,New York,United States,42,4,5,5,3,4,7-9 hours,2,4,More than 90 minutes a week,4,5,3,2
Auburn,New York,United States,34,4,4,5,3,4,7-9 hours,2,4,30- 60 minutes a week,4,4,4,2
Baldwin,New York,United States,53,4,5,5,5,5,4-6 hours,3,4,60-90 minutes a week,4,3,4,2
Manlius,New York,United States,42,5,4,5,4,3,7-9 hours,3,4,Less than 30 minutes a week,4,4,4,2
Syracuse,New York,United States,49,5,4,3,3,2,4-6 hours,4,3,More than 90 minutes a week,4,2,3,3
Marked Tree,Arkansas,United States,25,4,3,5,4,3,4-6 hours,2,2,30- 60 minutes a week,3,4,3,3
Marcellus,New York,United States,41,4,5,5,5,4,7-9 hours,3,5,More than 90 minutes a week,5,4,5,1
Syracuse,New York,United States,38,5,5,5,5,2,7-9 hours,3,4,Less than 30 minutes a week,4,4,4,1
Syracuse,New York,United States,48,4,4,5,4,3,4-6 hours,3,4,More than 90 minutes a week,3,4,4,3
Marietta,New York,United States,25,4,4,5,4,3,7-9 hours,3,4,60-90 minutes a week,4,4,4,2
Syracuse,New York,United States,59,5,5,5,5,3,7-9 hours,5,5,60-90 minutes a week,5,5,5,1
Marcellus,New York,United States,60,4,5,5,4,3,7-9 hours,3,4,Less than 30 minutes a week,5,4,5,1
Valparaiso,Indiana,United States,26,4,4,5,3,4,4-6 hours,3,3,More than 90 minutes a week,4,4,4,2
Syracuse,New York,United States,25,4,4,5,4,4,4-6 hours,4,4,More than 90 minutes a week,4,4,4,2
Syracuse,New York,United States,38,3,5,5,5,5,7-9 hours,3,5,More than 90 minutes a week,5,5,4,2
Yountville,California,United States,14,3,3,3,5,4,7-9 hours,3,3,30- 60 minutes a week,3,3,3,4
Odessa,Texas,United States,17,2,3,4,5,5,4-6 hours,1,2,Less than 30 minutes a week,3,3,2,4
Brooklyn,New York,United States,15,5,5,5,5,5,More than 9 hours,4,5,More than 90 minutes a week,5,5,4,2
Rochester,Indiana,United States,16,3,4,4,5,5,More than 9 hours,5,3,More than 90 minutes a week,3,3,4,4
Columbia City,Indiana,United States,17,4,4,4,5,5,7-9 hours,1,4,Less than 30 minutes a week,5,4,3,4
Seattle,Washington,United States,18,4,3,5,4,4,7-9 hours,3,3,More than 90 minutes a week,3,3,3,2
Kokomo,Indiana,United States,15,4,2,4,5,5,1-3 hours,3,4,More than 90 minutes a week,4,5,2,3
Kokomo,Indiana,United States,15,5,2,3,5,5,Less than an hour,3,1,Less than 30 minutes a week,2,1,2,3
Buffalo,West Virginia,United States,16,3,4,3,5,4,4-6 hours,2,4,Less than 30 minutes a week,3,3,4,3
Woodland,California,United States,15,4,5,5,5,3,7-9 hours,4,3,More than 90 minutes a week,4,4,3,2
Akron,Ohio,United States,16,5,2,3,5,5,7-9 hours,4,3,30- 60 minutes a week,4,4,2,2
San Antonio,Texas,United States,17,2,3,1,5,5,4-6 hours,1,3,Less than 30 minutes a week,2,3,2,5
Belton,Texas,United States,17,5,4,3,5,4,1-3 hours,3,4,30- 60 minutes a week,3,2,3,2
Rochester,Indiana,United States,15,4,5,4,5,5,4-6 hours,2,3,More than 90 minutes a week,4,1,3,4
Anderson,California,United States,15,5,3,5,4,4,4-6 hours,3,3,More than 90 minutes a week,5,3,3,1
Atlanta,Georgia,United States,11,4,4,5,4,5,7-9 hours,2,3,More than 90 minutes a week,3,4,4,2
Redhouse,West Virginia,United States,15,4,5,4,5,3,7-9 hours,,4,60-90 minutes a week,3,4,3,2
Far Rockaway,New York,United States,14,4,3,4,4,5,4-6 hours,3,4,Less than 30 minutes a week,3,4,3,4
Davis,California,United States,15,3,5,5,4,4,7-9 hours,3,4,More than 90 minutes a week,3,4,3,4
Fort Wayne,Indiana,United States,17,5,5,4,5,5,4-6 hours,3,3,More than 90 minutes a week,5,2,3,3
Sacramento,California,United States,14,4,3,5,4,5,4-6 hours,2,3,More than 90 minutes a week,4,1,2,2
Idaho Falls,Idaho,United States,17,4,4,3,5,4,4-6 hours,4,4,Less than 30 minutes a week,3,3,3,2
Davis,California,United States,14,3,5,2,5,5,7-9 hours,2,2,More than 90 minutes a week,3,2,3,4
Arkadelphia,Arkansas,United States,14,5,4,5,5,5,7-9 hours,3,3,30- 60 minutes a week,4,4,4,2
Gary,Indiana,United States,14,4,5,5,3,5,Less than an hour,4,3,30- 60 minutes a week,5,5,5,3
Sioux Falls,South Dakota,United States,17,3,5,5,5,5,1-3 hours,1,2,Less than 30 minutes a week,3,1,1,5
Sacramento,California,United States,16,4,3,4,4,5,More than 9 hours,4,3,30- 60 minutes a week,3,5,2,4
Idaho Falls,Idaho,United States,14,4,5,4,4,3,7-9 hours,4,4,More than 90 minutes a week,4,4,5,2
Rochester,Indiana,United States,14,4,2,5,4,5,7-9 hours,3,4,More than 90 minutes a week,5,4,3,5
Seaford,Delaware,United States,36,4,2,4,5,5,4-6 hours,2,2,Less than 30 minutes a week,2,3,2,3
